EUBWID,label,startOfSuspension,endOfSuspension,description,comment
ukd4200-42300,Blackpool Central,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukd4200-42500,Blackpool North,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukh3306-11750,West Mersea,2022-05-13T08:29:00,2022-05-13T15:05:00,sewage,""
ukh3311-11700,Brightlingsea,2022-05-13T08:29:00,2022-05-13T15:05:00,sewage,""
ukj3100-16500,Eastney,2021-10-09T01:20:00,"",other,""
ukj3100-16600,Southsea East,2021-10-09T01:20:00,"",other,""
ukj3307-16300,Eastoke,2021-10-09T01:20:00,"",other,""
ukj3307-16350,Beachlands Central,2021-10-09T01:20:00,"",other,""
ukj3307-16400,Beachlands West,2021-10-09T01:20:00,"",other,""
ukk3106-32300,Towan,2022-08-16T11:45:00,2022-08-17T14:46:00,sewage,""
ukk3106-32310,Great Western,2022-08-16T12:17:00,2022-08-17T13:18:00,sewage,""
ukk3106-32320,Tolcarne,2022-08-16T12:17:00,2022-08-17T13:18:00,sewage,""
ukk3106-32330,Lusty Glaze,2022-08-16T12:17:00,2022-08-17T13:17:00,sewage,""
