EUBWID,label,startOfSuspension,endOfSuspension,description,comment
ukd4200-42100,Blackpool South,2023-06-12T22:45:00,"",sewage,""
ukd4200-42300,Blackpool Central,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukd4200-42300,Blackpool Central,2023-06-12T22:45:00,"",sewage,""
ukd4200-42500,Blackpool North,2022-09-02T13:00:00,2022-09-04T13:00:00,sewage,""
ukd4200-42500,Blackpool North,2023-06-12T22:45:00,"",sewage,""
ukd4200-42600,Bispham,2023-06-12T22:45:00,"",sewage,""
ukd4303-41800,St Annes,2023-06-12T22:45:00,"",sewage,""
ukd4303-41900,St Annes North,2023-06-12T22:45:00,"",sewage,""
ukd4312-42800,Cleveleys,2023-06-12T22:45:00,"",sewage,""
ukd4312-43000,Fleetwood,2023-06-12T22:45:00,"",sewage,""
uke1200-08900,Withernsea,2020-06-15T12:04:00,2020-09-07T08:18:00,dredging or construction work,""
uke2206-07400,Scarborough South Bay,2021-08-04T00:00:00,2021-08-04T23:59:00,abnormal rainfall,""
ukh3100-11800,Southend Thorpe Bay,2021-06-22T12:55:00,2021-06-23T11:35:00,sewage,""
ukh3100-11830,Southend Jubilee,2021-06-22T12:55:00,2021-06-23T11:35:00,sewage,""
ukh3306-11750,West Mersea,2022-05-13T08:29:00,2022-05-13T15:05:00,sewage,""
ukh3311-11700,Brightlingsea,2022-05-13T08:29:00,2022-05-13T15:05:00,sewage,""
uki1101-11910,Hampstead Heath (Ladies Pond),2021-07-13T15:17:00,2021-07-30T12:00:00,sewage,""
uki1101-11920,Hampstead Heath (Mens Pond),2021-07-13T15:17:00,2021-07-30T12:00:00,sewage,""
uki1101-11930,Hampstead Heath (Mixed Pond),2021-07-13T15:17:00,2021-07-30T12:00:00,sewage,""
ukj2202-14100,Hastings Pelham Beach,2021-07-30T08:55:00,2021-08-04T09:00:00,sewage,""
ukj2202-14150,St Leonards,2021-07-30T08:55:00,2021-08-04T09:00:00,sewage,""
ukj2402-15600,Middleton-on-sea,2023-05-18T10:55:00,2023-05-20T09:00:00,sewage,""
ukj2402-15650,Felpham,2023-05-18T10:55:00,2023-05-20T09:00:00,sewage,""
ukj2402-15680,Bognor Regis East,2023-05-18T10:55:00,2023-05-20T09:00:00,sewage,""
ukj3100-16500,Eastney,2021-10-09T01:20:00,"",other,""
ukj3100-16600,Southsea East,2021-10-09T01:20:00,"",other,""
ukj3307-16300,Eastoke,2021-10-09T01:20:00,"",other,""
ukj3307-16350,Beachlands Central,2021-10-09T01:20:00,"",other,""
ukj3307-16400,Beachlands West,2021-10-09T01:20:00,"",other,""
ukj3400-18000,Seagrove,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18100,St Helens,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18200,Bembridge,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18300,Whitecliff Bay,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18350,Yaverland,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18500,Shanklin,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj3400-18600,Ventnor,2021-08-02T00:00:00,2021-08-02T23:59:00,abnormal rainfall,""
ukj4210-12850,Ramsgate Sands,2021-08-22T00:00:00,2021-08-22T23:59:00,abnormal rainfall,""
ukj4210-12900,Ramsgate Western Undercliffe,2021-08-22T00:00:00,2021-08-22T23:59:00,abnormal rainfall,""
ukk3106-32300,Towan,2022-08-16T11:45:00,2022-08-17T14:46:00,sewage,""
ukk3106-32310,Great Western,2022-08-16T12:17:00,2022-08-17T13:18:00,sewage,""
ukk3106-32320,Tolcarne,2022-08-16T12:17:00,2022-08-17T13:18:00,sewage,""
ukk3106-32330,Lusty Glaze,2022-08-16T12:17:00,2022-08-17T13:17:00,sewage,""
ukk4305-25200,Salcombe North Sands,2021-09-08T00:00:00,2021-09-09T23:59:00,abnormal rainfall,""
ukk4305-25300,Salcombe South Sands,2021-09-08T00:00:00,2021-09-09T23:59:00,abnormal rainfall,""
ukk4305-25400,Hope Cove,2021-09-08T00:00:00,2021-09-09T23:59:00,abnormal rainfall,""
ukk4305-26200,Wembury,2021-07-04T10:57:00,2021-07-04T12:00:00,sewage,""
ukk4305-26200,Wembury,2021-09-08T00:00:00,2021-09-09T23:59:00,abnormal rainfall,""
ukk4305-26300,Bovisand,2021-09-08T00:00:00,2021-09-09T23:59:00,abnormal rainfall,""
